id,type_valeur,montant,code_banque_don,code_banque_dest,rib_donneur,rib_beneficiaire,rib_donneur_valide,rib_beneficiaire_valide,date_operation,echeance_depassee,meme_banque,situation_donneur,type_compte,a_ete_rejete,code_rejet
1,40,454.323,12,05,12898367203173155967,05772519193768741402,1,1,20260312,0,0,0,1,0,00
2,20,2837.951,26,17,26129772072204969839,17028687106674275240,1,1,20260424,0,0,0,1,0,00
3,10,3169.578,02,25,02554260334663625118,25682845396860088359,1,1,20260414,0,0,0,1,0,00
4,10,4373.622,07,11,07672783009361204047,11952001156400214925,1,1,20260327,0,0,0,1,0,00
5,40,370.091,04,04,04201523329223638076,04936617088169269871,1,1,20260302,0,1,0,1,0,00
6,10,810.867,05,01,05233222375707307359,01422732828111528346,1,1,20260403,0,0,0,1,0,00
7,30,1037.914,04,05,04470655525714004258,05516200452847042073,1,1,20260408,0,0,0,1,0,00
8,10,475.803,07,08,07570277156191907097,08393569692187968393,1,1,20260423,0,0,0,2,0,00
9,30,2389.299,26,25,26051895995039554018,25264446353267319289,1,1,20260306,0,0,0,1,0,00
10,30,2233.705,05,17,05393409901587406436,17790629245840349975,1,1,20260210,0,0,1,1,1,08
11,10,22827.805,12,01,12659907437610371227,01929242007912126008,0,1,20260407,0,0,0,1,1,07
12,20,994.174,10,12,10413738483948720223,12978067640668280085,0,1,20260504,0,0,0,1,1,07
13,10,891.064,26,07,26718329442834346813,07039499694261899031,1,1,20260422,0,0,0,1,0,00
14,10,1264.002,02,20,02165527053068335277,20445569926219378627,1,1,20260414,0,0,0,1,0,00
15,30,935.321,26,25,26173454432238180051,25373552689757479303,1,1,20260505,0,0,0,3,0,00
16,10,94.535,08,02,08201043251248197127,02251467050104985086,1,1,20260306,0,0,0,1,0,00
17,30,2350.585,12,03,12677992048023007115,03348769915521054870,1,1,20260508,0,0,0,1,0,00
18,20,1011.055,14,08,14738511121385076902,08563043970903741561,1,1,20260306,0,0,0,1,0,00
19,10,203.739,08,14,08520373782219224467,14466954504891098993,1,1,20260220,0,0,0,1,0,00
20,30,5418.242,26,14,26867375967197262661,14750195228649680662,1,1,20260415,0,0,0,1,0,00
21,10,2349.287,20,11,20034770298453917564,11741804545563768625,1,1,20260423,0,0,0,1,0,00
22,10,5392.029,01,05,01847550752817924569,05410532303009543226,1,1,20260306,0,0,0,2,0,00
